id;address;schooltype;title;content;type;year;finance;costs;comments;lat;lng;icon;color
1;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude, Einbau HAZ;Brandschutz;2017;;765000;;51.376276;6.493546;fa-graduation-cap;green
7;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude  Umsetzung Brandschutzkonzept (Beginn in 2017);Brandschutz;2017;;765000;;51.376276;6.493546;fa-graduation-cap;green
19;Bismarckstr. 67;Grundschule ;Bismarckschule;Ertüchtigung Außentreppe (Rest aus 2017);Brandschutz;2017;;4525000;;51.341559;06.57382;fa-graduation-cap;green
22;Bismarckstr. 67;Grundschule ;Bismarckschule;Erweiterung Alarmierung Altbau (Rest aus 2017);Brandschutz;2017;;4525000;;51.341559;06.57382;fa-graduation-cap;green
24;Bismarckstr. 67;Grundschule ;Bismarckschule;Erneuerung abgehängte Decken in Flurbereiche;Sanierung;2017;;4525000;;51.341559;06.57382;fa-graduation-cap;green
26;Bismarckstr. 67;Grundschule ;Bismarckschule;kleiner Schulhof, Erneuerung Asphaltdecke;Außenanlagen;2017;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;green
37;Bismarckstr. 67;Grundschule ;Bismarckschule;Pavillon, Hochbau;Neubau;2017;;4525000;;51.341559;06.57382;fa-graduation-cap;green
38;Bismarckstr. 67;Grundschule ;Bismarckschule;Pavillon, Tiefbau;Neubau;2017;;4525000;;51.341559;06.57382;fa-graduation-cap;green
39;Bismarckstr. 67;Grundschule ;Bismarckschule;Pavillon, Einrichtung;Neubau;2017;;4525000;;51.341559;06.57382;fa-graduation-cap;green
59;Buchenstr. 28;Grundschule;Buchenschule;Notmaßnahme Decken (Rest aus 2017);Sanierung;2017;;620000;;51.321356;6.560709;fa-graduation-cap;green
75;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Sanierung Flachdächer;Gebäudehülle;2017;;840000;;51.375494;6.588768;fa-graduation-cap;green
