id;address;schooltype;title;content;type;year;finance;costs;comments;lat;lng;icon;color
12;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Einbau HAZ;Brandschutz;2019;;765000;;51.371415;6.508907;fa-graduation-cap;blue
17;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;765000;;51.371415;6.508907;fa-graduation-cap;blue
26;Bismarckstr. 67;Grundschule ;Bismarckschule;kleiner Schulhof, Erneuerung Asphaltdecke;Außenanlagen;2019;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
29;Bismarckstr. 67;Grundschule ;Bismarckschule;Sanierung Sanitäranlagen;Sanierung;2019;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
32;Bismarckstr. 67;Grundschule ;Bismarckschule;Anstrich Flurwände;Sanierung;2019;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
34;Bismarckstr. 67;Grundschule ;Bismarckschule;Verbindung Sekretariat/Schulleitung ;Nutzung;2019;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
40;Bismarckstr. 67;Grundschule ;Bismarckschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
44;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Digitalisierung;Digitalisierung;2019;Gute Schule 2020-Mittel;1120000;;51.333853;6.579489;fa-graduation-cap;blue
51;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Schulhofsanierung;Außenanlagen;2019;Gute Schule 2020-Mittel;1120000;;51.333853;6.579489;fa-graduation-cap;blue
57;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
60;Buchenstr. 28;Grundschule;Buchenschule;Notmaßnahme Klassenräume;Sanierung;2019;;620000;;51.321356;6.560709;fa-graduation-cap;blue
63;Buchenstr. 28;Grundschule;Buchenschule;Sanierung Treppenhäuser u. Flure;Sanierung;2019;Gute Schule 2020-Mittel;620000;;51.321356;6.560709;fa-graduation-cap;blue
65;Buchenstr. 28;Grundschule;Buchenschule;Schulhofsanierung;Außenanlagen;2019;Gute Schule 2020-Mittel;620000;;51.321356;6.560709;fa-graduation-cap;blue
66;Buchenstr. 28;Grundschule;Buchenschule;Sanierung Klassenräume;Sanierung;2019;Gute Schule 2020-Mittel;620000;;51.321356;6.560709;fa-graduation-cap;blue
67;Buchenstr. 28;Grundschule;Buchenschule;Erneuerung Außentüren;Gebäudehülle;2019;;620000;;51.321356;6.560709;fa-graduation-cap;blue
69;Buchenstr. 28;Grundschule;Buchenschule;Brandschutzkonzept und Umsetzung;Brandschutz;2019;;620000;;51.321356;6.560709;fa-graduation-cap;blue
70;Buchenstr. 28;Grundschule;Buchenschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;620000;;51.321356;6.560709;fa-graduation-cap;blue
77;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Erneuerung Deckenverkleidung Flurbereich inkl. Beleuchtung und Schottung;Brandschutz;2019;;840000;;51.375494;6.588768;fa-graduation-cap;blue
78;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Rettungstreppe;Brandschutz;2019;;840000;;51.375494;6.588768;fa-graduation-cap;blue
80;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Bauunterhalt < 10.000 Euro;Sanierung;2019;;840000;;51.375494;6.588768;fa-graduation-cap;blue
89;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;505000;;51.357253;6.634335;fa-graduation-cap;blue
93;Bellenweg 50;Grundschule;Forstwaldschule;Digitalisierung;Digitalisierung;2019;Gute Schule 2020-Mittel;630000;;51.302289;6.505864;fa-graduation-cap;blue
100;Bellenweg 50;Grundschule;Forstwaldschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;630000;;51.302289;6.505864;fa-graduation-cap;blue
104;Fungendonk 31;Grundschule ;Geschwister-Scholl;Sanierung Fenster/Türen HM-Loge;Gebäudehülle;2019;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
106;Fungendonk 31;Grundschule ;Geschwister-Scholl;Sanierung Sanitäranlagen;Sanierung;2019;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
107;Fungendonk 31;Grundschule ;Geschwister-Scholl;Sanierung Klassenräume;Sanierung;2019;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
109;Fungendonk 31;Grundschule ;Geschwister-Scholl;Sanierung Flure und Treppenhäuser;Sanierung;2019;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
112;Fungendonk 31;Grundschule ;Geschwister-Scholl;Turnhalle: Sanierung Sanitäranlagen;Sanierung;2019;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
113;Fungendonk 31;Grundschule ;Geschwister-Scholl;Turnhalle, fehlende Deckenkonstruktion (Hallendecke und Beleuchtung);Verkehrssicherheit;2019;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
114;Fungendonk 31;Grundschule;Geschwister-Scholl;Bauunterhalt < 10.000 Euro;Sanierung;2019;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
117;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Digitalisierung;Digitalisierung;2019;Gute Schule 2020-Mittel;1680000;;51.339411;6.599194;fa-graduation-cap;blue
128;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
131;Körnerstr. 17;Grundschule;Heinrichsschule;Abdichtung Flurwände und Anstriche;Sanierung;2019;Gute Schule 2020-Mittel;625000;;51.363608;6.646081;fa-graduation-cap;blue
132;Körnerstr. 17;Grundschule;Heinrichsschule;Sanierung Klassenräume;Sanierung;2019;Gute Schule 2020-Mittel;625000;;51.363608;6.646081;fa-graduation-cap;blue
135;Körnerstr. 17;Grundschule;Heinrichsschule;Sanierung Sanitäranlagen;Sanierung;2019;Gute Schule 2020-Mittel;625000;;51.363608;6.646081;fa-graduation-cap;blue
140;Körnerstr. 17;Grundschule;Heinrichsschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;625000;;51.363608;6.646081;fa-graduation-cap;blue
142;Horkesgath 50;Grundschule;GGS Horkesgath;Verschattung Mensa;Gebäudehülle;2019;;1095000;;51.337299;06.52905;fa-graduation-cap;blue
150;Kempener Allee 142/NG;Grundschule;GGS Horkesgath;Erneuerung Fenster;Gebäudehülle;2019;Gute Schule 2020-Mittel;1095000;;51.341356;6.530377;fa-graduation-cap;blue
157;Kempener Allee 142/NG;Grundschule;GGS Horkesgath;Turnhalle, Sanierung Sportboden;Sanierung;2019;Gute Schule 2020-Mittel;1095000;;51.341356;6.530377;fa-graduation-cap;blue
158;Horkesgath 50;Grundschule;GGS Horkesgath;Bauunterhalt < 10.000 Euro;Sanierung;2019;;1095000;;51.337299;06.52905;fa-graduation-cap;blue
161;Girmesdyk 17-19;Grundschule;Jahnschule;Sanierung Klassenräume;Sanierung;2019;Gute Schule 2020-Mittel;855000;;51.344891;6.552899;fa-graduation-cap;blue
162;Girmesdyk 17-19;Grundschule;Jahnschule;Sanierung Flure ;Sanierung;2019;Gute Schule 2020-Mittel;855000;;51.344891;6.552899;fa-graduation-cap;blue
163;Girmesdyk 17-19;Grundschule;Jahnschule;Sanierung Sanitäranlagen;Sanierung;2019;Gute Schule 2020-Mittel;855000;;51.344891;6.552899;fa-graduation-cap;blue
167;Girmesdyk 17-19;Grundschule;Jahnschule;Turnhalle, Austausch Beleuchtung LED (Förderprojekt);Energetische Sanierung;2019;;855000;;51.344891;6.552899;fa-graduation-cap;blue
168;Girmesdyk 17-19;Grundschule;Jahnschule;Turnhalle, Sanierung Prallschutz u. Parkettboden;Sanierung;2019;Gute Schule 2020-Mittel;855000;;51.344891;6.552899;fa-graduation-cap;blue
169;Girmesdyk 17-19;Grundschule;Jahnschule;Turnhalle: Sanierung Sanitäranlagen;Sanierung;2019;Gute Schule 2020-Mittel;855000;;51.344891;6.552899;fa-graduation-cap;blue
170;Girmesdyk 17-19;Grundschule;Jahnschule;Turnhalle, Altbau, Abdichtung/Trockenlegung KG;Sanierung;2019;;855000;;51.344891;6.552899;fa-graduation-cap;blue
171;Girmesdyk 17-19;Grundschule;Jahnschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;855000;;51.344891;6.552899;fa-graduation-cap;blue
176;Kohlplatzweg 25;Grundschule;Johansenschule;Hauptgebäude, Reparatur Fenster ;Gebäudehülle;2019;;805000;;51.338053;6.646787;fa-graduation-cap;blue
178;Kohlplatzweg 25;Grundschule;Johansenschule;Anstrich Flure, Treppenräume;Sanierung;2019;Gute Schule 2020-Mittel;805000;;51.338053;6.646787;fa-graduation-cap;blue
179;Kohlplatzweg 25;Grundschule;Johansenschule;Sanierung Klassenräume;Sanierung;2019;Gute Schule 2020-Mittel;805000;;51.338053;6.646787;fa-graduation-cap;blue
183;Kohlplatzweg 25;Grundschule;Johansenschule;Turnhalle, Sanierung Bodenbelag Umkleiden;Sanierung;2019;Gute Schule 2020-Mittel;805000;;51.338053;6.646787;fa-graduation-cap;blue
190;Kohlplatzweg 25;Grundschule;Johansenschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;805000;;51.338053;6.646787;fa-graduation-cap;blue
198;Südstr. 22/NG;Grundschule;Josefschule;NG Südstr., Sanierung Dach mit Glasaufbau/Wände;Gebäudehülle;2019;;665000;;51.326772;6.559606;fa-graduation-cap;blue
203;An der Josefkirche 2;Grundschule;Josefschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;665000;;51.327285;06.55693;fa-graduation-cap;blue
211;Oberbruchstr. 87;Grundschule;GS Königshof;Sanierung OGS;Sanierung;2019;;630000;;51.315926;6.590567;fa-graduation-cap;blue
214;Oberbruchstr. 87;Grundschule;GS Königshof;Sanierung Sanitäranlagen;Sanierung;2019;Gute Schule 2020-Mittel;630000;;51.315926;6.590567;fa-graduation-cap;blue
216;Oberbruchstr. 87;Grundschule;GS Königshof;Bauunterhalt < 10.000 Euro;Sanierung;2019;;630000;;51.315926;6.590567;fa-graduation-cap;blue
220;Gießerpfad 2-10;Grundschule;Lindenschule;Schallisolation Decke in 5 Klassen;Verkehrssicherheit;2019;Gute Schule 2020-Mittel;480000;;51.320251;6.536653;fa-graduation-cap;blue
228;Gießerpfad 2-10;Grundschule;Lindenschule;Bauunterhalt< 10.000 Euro;Sanierung;2019;;480000;;51.320251;6.536653;fa-graduation-cap;blue
236;Gießerpfad 2-10b;Grundschule;St. Michael Schule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;315000;;51.319832;6.535928;fa-graduation-cap;blue
240;Mariannenstr. 29;Grundschule;Mariannenschule;Sanierung Sanitäranlagen ;Sanierung;2019;Gute Schule 2020-Mittel;775000;;51.329765;6.570988;fa-graduation-cap;blue
241;Mariannenstr. 97, NG;Grundschule;Mariannenschule;Erneuerung Fenster;Gebäudehülle;2019;Gute Schule 2020-Mittel;775000;;51.332105;6.569809;fa-graduation-cap;blue
244;Mariannenstr. 97, NG;Grundschule;Mariannenschule;Anbau Hofseite, Behebung Putzschäden Fassade;Gebäudehülle;2019;Gute Schule 2020-Mittel;775000;;51.332105;6.569809;fa-graduation-cap;blue
246;Mariannenstr. 97, NG;Grundschule;Mariannenschule;Erneuerung Heizkörper Klassenräume;Energetische Sanierung;2019;;775000;;51.332105;6.569809;fa-graduation-cap;blue
248;Mariannenstr. 29;Grundschule;Mariannenschule;Bauunterhalt < 10.000 Euro;Sanierung;2019;;775000;;51.329765;6.570988;fa-graduation-cap;blue
250;Hofstr. 45;Grundschule;Mosaikschule;Turnhalle, Sanierung Außenfassade;Gebäudehülle;2019;;585500;;51.338849;6.553821;fa-graduation-cap;blue
251;Hofstr. 45;Grundschule;Mosaikschule;Digitalisierung (gem. FB 40 z.Z. noch nicht);Digitalisierung;2019;Gute Schule 2020-Mittel;585500;;51.338849;6.553821;fa-graduation-cap;blue
254;Felbelstr. 24/NG;Grundschule;Mosaikschule;Schottung Treppenhaus 1. OG, Einbau BS-Türen zum Klassenraum;Brandschutz;2019;;585500;;51.336184;6.568006;fa-graduation-cap;blue
255;Felbelstr. 24/NG;Grundschule;Mosaikschule;Sanierung Klassenräume;Sanierung;2019;Gute Schule 2020-Mittel;585500;;51.336184;6.568006;fa-graduation-cap;blue
257;Felbelstr. 24/NG;Grundschule;Mosaikschule;Sanierung Flure u. Treppenhaus;Sanierung;2019;Gute Schule 2020-Mittel;585500;;51.336184;6.568006;fa-graduation-cap;blue
